modality	cluster	n_frag	n_frag_bytes	n_cells	n_cells_bytes	n_umi	n_umi_bytes	n_peaks	n_peaks_bytes	n_cand	n_cand_bytes	j_elem	j_elem_bytes	k_genes	k_genes_bytes	n_links	n_links_bytes	n_pairs	n_pairs_bytes	n_kendall	n_kendall_bytes	n_arc	n_arc_bytes	n_feat_rows	n_feat_rows_bytes	n_feat_cols	n_feat_cols_bytes	n_actonly	n_actonly_bytes
multiome	jurkat	75342313	9	8239	5	53775195	9	520543	38893452	158397	3778512	158398	33302419	20532	5585274	11036284	311273563	10788203	79106563	10788203	238855645	11036284	732234886	11036284	568234502	24	568234502	11036284	222149211
multiome	jurkat_pma_cd3_4hr	55803917	9	5124	5	33858280	9	595372	44346426	157395	3756531	157396	33065480	20532	5578855	10854699	310730770	10759397	78899374	10759397	232494054	10854699	719335787	10854699	557720229	24	557720229	10854699	225038829
multiome	k562_crispri	86424398	9	5109	5	50110862	9	503068	37764343	156420	3731287	156421	32939288	20532	5585374	11447565	335277506	11317835	82748072	11317835	254462326	11447565	778223611	11447565	605033216	24	605033216	11447565	238336595
multiome	telohaec_crispri	394847593	10	15555	6	174171162	10	561437	42329115	157551	3759734	157552	33244378	20532	5618019	11106688	315975183	11136923	81489324	11136923	248567743	11106688	750525876	11106688	579113155	24	579113155	11106688	226622893
multiome	thp1_1	26231026	9	2676	5	14507935	9	432039	32303785	158548	3788518	158549	33323136	20532	5567702	10173078	281522213	9694979	70854698	9694979	202581151	10173078	630109119	10173078	494990740	24	494990740	10173078	202999064
multiome	thp1_2	26292230	9	2593	5	14928625	9	435637	32581011	157498	3762550	157499	33107988	20532	5566583	10278326	286041569	9910222	72433636	9910222	208191107	10278326	645189492	10278326	504996592	24	504996592	10278326	205355762
