modality	cluster	model	file	rows	md5_decompressed
multiome	telohaec_crispri	multiome_powerlaw_v3	scE2G_predictions_threshold0.177_stats.tsv	2	650e280c521c0550eab6e880ef66ccf6
multiome	thp1_1		Predictions/EnhancerPredictionsAllPutative.tsv.gz	10173078	bf2052afe99e0fcb9ed6a8cd429e5104
multiome	thp1_1		Neighborhoods/EnhancerList.txt	158549	b1ed62a33ef67bed0643cb551358963a
multiome	thp1_1		Neighborhoods/GeneList.txt	20532	c653c4541cee3a33033867f5a77b4db4
multiome	thp1_1		Kendall/Pairs.Kendall.tsv.gz	9694979	afd4c54ecadd4b9bc353582dfd051cc4
multiome	thp1_1		ARC/EnhancerPredictionsAllPutative_ARC.tsv.gz	10173078	e541feb46dfcc6581a08315d02675e55
multiome	thp1_1		genomewide_features.tsv.gz	10173078	bd1456055a566668d58c5f76e112466f
multiome	thp1_1	multiome_powerlaw_v3	scE2G_element_list.tsv.gz	158549	6ce6773aa247afda6c151a16c0fa955c
multiome	thp1_1	multiome_powerlaw_v3	scE2G_gene_list.tsv.gz	20532	b10a4ff30332bae348e2b998aff01ea0
multiome	thp1_1	multiome_powerlaw_v3	scE2G_predictions.tsv.gz	10173078	53248276ce6efc5494fb0c6ae748141c
multiome	thp1_1	multiome_powerlaw_v3	scE2G_predictions_threshold0.177.tsv.gz	60436	e37300f3d7d44cfcaa0264dd372b9e31
multiome	thp1_1	multiome_powerlaw_v3	scE2G_predictions_threshold0.177_stats.tsv	2	81f9500c54222294d9270f3be7d0c16a
multiome	thp1_2		Predictions/EnhancerPredictionsAllPutative.tsv.gz	10278326	164947b328ad29b3e8d789081d5fbe4c
multiome	thp1_2		Neighborhoods/EnhancerList.txt	157499	f338c8bf135e7175bd033ba2b5676c06
multiome	thp1_2		Neighborhoods/GeneList.txt	20532	35e622480223af9d8026edd9394b639e
multiome	thp1_2		Kendall/Pairs.Kendall.tsv.gz	9910222	75acac547e0f4df2985327288dd8abb6
multiome	thp1_2		ARC/EnhancerPredictionsAllPutative_ARC.tsv.gz	10278326	03f711e7e9ac702f1e634daf2a0d6b6f
multiome	thp1_2		genomewide_features.tsv.gz	10278326	3e2e667de262a6bdd6e369b55e5bc612
multiome	thp1_2	multiome_powerlaw_v3	scE2G_element_list.tsv.gz	157499	81b6b146d2fa2eebac5ae8594de699d5
multiome	thp1_2	multiome_powerlaw_v3	scE2G_gene_list.tsv.gz	20532	24b7c2eba13a197fec85fe4b83569864
multiome	thp1_2	multiome_powerlaw_v3	scE2G_predictions.tsv.gz	10278326	9f8edca2986fe6b941bc2150530f3c7f
multiome	thp1_2	multiome_powerlaw_v3	scE2G_predictions_threshold0.177.tsv.gz	61285	1a525406a3adc910ac1934afee289fba
multiome	thp1_2	multiome_powerlaw_v3	scE2G_predictions_threshold0.177_stats.tsv	2	d1146d89e12f5439082947ce5ea579db
